SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
PLASTIBLEN,Plastiblends India Limited,EQ,28-DEC-2006
PLATIND,Platinum Industries Limited,EQ,05-MAR-2024
PLAZACABLE,Plaza Wires Limited,EQ,12-OCT-2023
PML,Paul Merchants Limited,EQ,20-APR-2026
PNB,Punjab National Bank,EQ,24-APR-2002
PNBGILTS,PNB Gilts Limited,EQ,18-SEP-2000
PNBHOUSING,PNB Housing Finance Limited,EQ,07-NOV-2016
PNC,Pritish Nandy Communications Limited,EQ,11-DEC-2000
PNCINFRA,PNC Infratech Limited,EQ,26-MAY-2015
PNGJL,P N Gadgil Jewellers Limited,EQ,17-SEP-2024
PNGSREVA,PNGS Reva Diamond Jewellery Limited,EQ,04-MAR-2026
POCL,Pondy Oxides & Chemicals Limited,EQ,06-MAR-2023
PODDARMENT,Poddar Pigments Limited,EQ,22-NOV-2016
POEL,POCL Enterprises Limited,EQ,17-AUG-2026
POKARNA,Pokarna Limited,EQ,07-JUL-2016
POLICYBZR,PB Fintech Limited,EQ,15-NOV-2021
POLYCAB,Polycab India Limited,EQ,16-APR-2019
POLYMED,Poly Medicure Limited,EQ,07-DEC-2011
POLYPLEX,Polyplex Corporation Limited,EQ,11-APR-2003
POLYSPIN,Polyspin Exports Limited,EQ,17-AUG-2026
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,16-APR-2002
POONAWALLA,Poonawalla Fincorp Limited,EQ,27-APR-2004
POWERGRID,Power Grid Corporation of India Limited,EQ,05-OCT-2007
POWERICA,Powerica Limited,EQ,02-APR-2026
POWERINDIA,Hitachi Energy India Limited,EQ,30-MAR-2020
POWERMECH,Power Mech Projects Limited,EQ,26-AUG-2015
PPAP,PPAP Automotive Limited,BE,11-JAN-2008
PPL,Prakash Pipes Limited,BE,14-JUN-2019
PPLPHARMA,Piramal Pharma Limited,EQ,19-OCT-2022
PRABHA,Prabha Energy Limited,EQ,19-MAR-2025
PRADPME,Pradeep Metals Limited,BE,20-APR-2026
PRAENG,Prajay Engineers Syndicate Limited,EQ,02-JAN-2007
PRAJIND,Praj Industries Limited,EQ,11-OCT-1995
PRAKASH,Prakash Industries Limited,EQ,10-MAY-1995
PRAKASHSTL,Prakash Steelage Limited,EQ,25-AUG-2010
PRAVEG,Praveg Limited,EQ,20-APR-2026
PRAXIS,Praxis Home Retail Limited,EQ,31-JAN-2018
PRECAM,Precision Camshafts Limited,EQ,08-FEB-2016
PRECOT,Precot Limited,EQ,19-AUG-2005
PRECWIRE,Precision Wires India Limited,EQ,06-SEP-1995
PREMCO,Premco Global Limited,EQ,20-APR-2026
PREMEXPLN,Premier Explosives Limited,EQ,17-JUN-2016
PREMIER,Premier Limited,BE,03-APR-1996
PREMIERENE,Premier Energies Limited,EQ,03-SEP-2024
PREMIERPOL,Premier Polyfilm Limited,EQ,13-DEC-1995
PRESTIGE,Prestige Estates Projects Limited,EQ,27-OCT-2010
PRICOLLTD,Pricol Limited,EQ,10-FEB-2017
PRIMESECU,Prime Securities Limited,EQ,17-JUN-2005
PRIMO,Primo Chemicals Limited,EQ,22-APR-2025
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-DEC-2019
PRISMX,Prismx Global Ventures Limited,EQ,17-AUG-2026
PRITI,Priti International Limited,BE,02-MAR-2022
PRITIKAUTO,Pritika Auto Industries Limited,BE,10-AUG-2021
PRIVISCL,Privi Speciality Chemicals Limited,EQ,08-MAY-2015
PROSTARM,Prostarm Info Systems Limited,EQ,03-JUN-2025
PROTEAN,Protean eGov Technologies Limited,EQ,06-FEB-2025
PROZONER,Prozone Realty Limited,EQ,12-SEP-2012
PRSMJOHNSN,Prism Johnson Limited,EQ,20-AUG-2003
PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022
PRUDMOULI,Prudential Sugar Corporation Limited,BE,10-MAY-1995
PSB,Punjab & Sind Bank,EQ,30-DEC-2010
PSPPROJECT,PSP Projects Limited,EQ,29-MAY-2017
PTC,PTC India Limited,EQ,07-APR-2004
PTCIL,PTC Industries Limited,EQ,09-JUN-2023
PTL,PTL Enterprises Limited,EQ,29-JAN-2007
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,08-MAR-2007
PURVA,Puravankara Limited,EQ,30-AUG-2007
PVP,PVP Ventures Limited,EQ,03-APR-1996
PVRINOX,PVR INOX Limited,EQ,04-JAN-2006
PVSL,Popular Vehicles and Services Limited,EQ,19-MAR-2024
PWL,Physicswallah Limited,EQ,18-NOV-2025
PYRAMID,Pyramid Technoplast Limited,EQ,29-AUG-2023
QMSMEDI,QMS Medical Allied Services Limited,BE,18-JUN-2026
QPOWER,Quality Power Electrical Equipments Limited,EQ,24-FEB-2025
QUADFUTURE,Quadrant Future Tek Limited,EQ,14-JAN-2025
QUESS,Quess Corp Limited,EQ,12-JUL-2016
QUICKHEAL,Quick Heal Technologies Limited,BE,18-FEB-2016
QUINT,Quint Digital Limited,EQ,20-APR-2026
RACE,Race Eco Chain Limited,EQ,09-MAY-2023
RACLGEAR,RACL Geartech Limited,EQ,27-NOV-2024
RADAAN,Radaan Mediaworks India Limited,EQ,27-FEB-2003
RADHIKAJWE,Radhika Jeweltech Limited,EQ,18-JUL-2022
RADIANTCMS,Radiant Cash Management Services Limited,EQ,04-JAN-2023
RADICO,Radico Khaitan Limited,EQ,18-JUN-2003
RADIOCITY,Music Broadcast Limited,EQ,17-MAR-2017
RAILTEL,Railtel Corporation Of India Limited,EQ,26-FEB-2021
RAIN,Rain Industries Limited,EQ,03-MAR-2008
RAINBOW,Rainbow Childrens Medicare Limited,EQ,10-MAY-2022
RAJMET,Rajnandini Metal Limited,EQ,16-FEB-2021
RAJOOENG,Rajoo Engineers Limited,BE,29-MAY-2025
RAJPALAYAM,Rajapalayam Mills Limited,EQ,20-APR-2026
RAJRATAN,Rajratan Global Wire Limited,EQ,22-MAY-2020
RAJRILTD,Raj Rayon Industries Limited,BE,16-MAR-2022
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,29-MAR-1995
RAJTV,Raj Television Network Limited,EQ,16-MAR-2007
RALLIS,Rallis India Limited,EQ,01-APR-1999
RAMANEWS,Shree Rama Newsprint Limited,EQ,20-SEP-2006
RAMAPHO,Rama Phosphates Limited,EQ,05-AUG-2022
RAMASTEEL,Rama Steel Tubes Limited,BE,19-AUG-2015
RAMBHAJO,Advit Jewels Limited,EQ,01-JUL-2026
RAMCOCEM,The Ramco Cements Limited,EQ,09-APR-1997
RAMCOIND,Ramco Industries Limited,EQ,06-NOV-1996
RAMCOSYS,Ramco Systems Limited,EQ,12-APR-2000
RAMKY,Ramky Infrastructure Limited,EQ,08-OCT-2010
RAMRAT,Ram Ratna Wires Limited,EQ,29-JUL-2022
RANASUG,Rana Sugars Limited,EQ,24-FEB-2005
RANEHOLDIN,Rane Holdings Limited,EQ,24-SEP-1997
RATEGAIN,Rategain Travel Technologies Limited,EQ,17-DEC-2021
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,09-MAY-2006
RATNAVEER,Ratnaveer Precision Engineering Limited,EQ,11-SEP-2023
RAYMOND,Raymond Limited,EQ,18-OCT-1995
RAYMONDLSL,Raymond Lifestyle Limited,EQ,05-SEP-2024
RAYMONDREL,Raymond Realty Limited,EQ,01-JUL-2025
RBA,Restaurant Brands Asia Limited,EQ,14-DEC-2020
RBLBANK,RBL Bank Limited,EQ,31-AUG-2016
RBZJEWEL,RBZ Jewellers Limited,EQ,27-DEC-2023
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,07-JAN-1998
RCOM,Reliance Communications Limited,BE,06-MAR-2006
RECLTD,REC Limited,EQ,12-MAR-2008
REDINGTON,Redington Limited,EQ,15-FEB-2007
REDTAPE,Redtape Limited,EQ,11-AUG-2023
REFEX,Refex Industries Limited,EQ,03-DEC-2009
REGAAL,Regaal Resources Limited,EQ,20-AUG-2025
REGENCERAM,Regency Ceramics Limited,EQ,05-JUN-1996
RELAXO,Relaxo Footwears Limited,EQ,17-JUN-2011
RELCHEMQ,Reliance Chemotex Industries Limited,EQ,25-MAY-2022
RELIABLE,Reliable Data Services Limited,EQ,10-JUL-2024
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995
RELIGARE,Religare Enterprises Limited,EQ,21-NOV-2007
RELINFRA,Reliance Infrastructure Limited,BE,08-FEB-1995
RELTD,Ravindra Energy Limited,EQ,30-JUL-2024
REMSONSIND,Remsons Industries Limited,EQ,31-JAN-1996
RENUKA,Shree Renuka Sugars Limited,EQ,31-OCT-2005
REPCOHOME,Repco Home Finance Limited,EQ,01-APR-2013
REPL,Rudrabhishek Enterprises Limited,BE,14-DEC-2020
REPRO,Repro India Limited,EQ,22-DEC-2005
RESPONIND,Responsive Industries Limited,EQ,29-OCT-2010
RETAIL,JHS Svendgaard Retail Ventures Limited,EQ,26-JUN-2024
RGL,Renaissance Global Limited,EQ,12-DEC-2007
RHETAN,Rhetan TMT Limited,EQ,26-SEP-2025
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-MAR-2012
RHL,Robust Hotels Limited,EQ,25-APR-2023
RICOAUTO,Rico Auto Industries Limited,EQ,12-MAY-2003
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-NOV-1995
RIR,RIR Power Electronics Limited,EQ,16-JUL-2026
RISHABH,Rishabh Instruments Limited,EQ,11-SEP-2023
RITCO,Ritco Logistics Limited,EQ,12-APR-2022
RITES,RITES Limited,EQ,02-JUL-2018
RKDL,Ravi Kumar Distilleries Limited,EQ,27-DEC-2010
RKEC,RKEC Projects Limited,EQ,18-DEC-2020
RKFORGE,Ramkrishna Forgings Limited,EQ,05-MAY-2004
RKSWAMY,R K Swamy Limited,EQ,12-MAR-2024
RMC,RMC Switchgears Limited,EQ,01-APR-2026
RMDRIP,R M Drip and Sprinklers Systems Limited,BE,30-JUL-2025
RML,Rane (Madras) Limited,EQ,30-AUG-2005
RNBDENIMS,R&B Denims Limited,EQ,04-SEP-2025
ROHLTD,Royal Orchid Hotels Limited,EQ,06-FEB-2006
ROLEXRINGS,Rolex Rings Limited,EQ,09-AUG-2021
ROLLT,Rollatainers Limited,BE,22-NOV-2016
ROML,Raj Oil Mills Limited,EQ,06-OCT-2020
ROSSARI,Rossari Biotech Limited,EQ,23-JUL-2020
ROSSELLIND,Rossell India Limited,EQ,25-SEP-2012
ROSSTECH,Rossell Techsys Limited,EQ,09-DEC-2024
ROTO,Roto Pumps Limited,EQ,21-APR-2022
ROUTE,ROUTE MOBILE LIMITED,EQ,21-SEP-2020
RPEL,Raghav Productivity Enhancers Limited,EQ,08-AUG-2024
RPGLIFE,RPG Life Sciences Limited,EQ,10-JUN-2008
RPOWER,Reliance Power Limited,EQ,11-FEB-2008
RPPINFRA,R.P.P. Infra Projects Limited,EQ,06-DEC-2010
RPPL,Rajshree Polypack Limited,BE,26-NOV-2021
RPSGVENT,RPSG VENTURES LIMITED,EQ,25-JAN-2019
RPTECH,Rashi Peripherals Limited,EQ,14-FEB-2024
RRECL,RDB Real Estate Constructions Limited,EQ,17-AUG-2026
RRIL,RRIL Limited,EQ,20-APR-2026
RRKABEL,R R Kabel Limited,EQ,20-SEP-2023
RSDFIN,RSD Finance Limited,BE,20-APR-2026
RSL,Rajputana Stainless Limited,EQ,19-MAR-2026
RSSOFTWARE,R. S. Software (India) Limited,EQ,19-MAY-1999
RSWM,RSWM Limited,BE,15-FEB-1995
RSYSTEMS,R Systems International Limited,EQ,26-APR-2006
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-JUL-2012
RTNPOWER,RattanIndia Power Limited,EQ,30-OCT-2009
RTSPOWR,RTS Power Corporation Limited,EQ,17-AUG-2026
RUBFILA,Rubfila International Limited,EQ,08-AUG-2024
RUBICON,Rubicon Research Limited,EQ,16-OCT-2025
RUBYMILLS,The Ruby Mills Limited,BE,29-MAR-1995
RUCHINFRA,Ruchi Infrastructure Limited,EQ,16-OCT-1996
RUCHIRA,Ruchira Papers Limited,EQ,20-DEC-2006
RUDRA,Rudra Global Infra Products Limited,EQ,19-DEC-2025
RUPA,Rupa & Company Limited,EQ,07-DEC-2011
RUSHIL,Rushil Decor Limited,EQ,07-JUL-2011
RUSTOMJEE,Keystone Realtors Limited,EQ,24-NOV-2022
RVHL,Ravinder Heights Limited,EQ,18-DEC-2020
RVNL,Rail Vikas Nigam Limited,EQ,11-APR-2019
RVTH,Revathi Equipment India Limited,EQ,11-SEP-2024
S&SPOWER,S&S Power Switchgears Limited,EQ,27-SEP-1995
SAATVIKGL,Saatvik Green Energy Limited,EQ,26-SEP-2025
SAB,SAB Industries Limited,EQ,17-AUG-2026
SADBHAV,Sadbhav Engineering Limited,EQ,01-MAR-2006
SADBHIN,Sadbhav Infrastructure Project Limited,BE,16-SEP-2015
SADHNANIQ,Sadhana Nitrochem Limited,BE,05-MAY-2023
SAFARI,Safari Industries (India) Limited,EQ,12-SEP-2019
SAGARDEEP,Sagardeep Alloys Limited,EQ,25-JAN-2019
SAGCEM,Sagar Cements Limited,EQ,29-JAN-2007
SAGILITY,SAGILITY LIMITED,EQ,12-NOV-2024
SAHLIBHFI,Shalibhadra Finance Limited,EQ,10-APR-2026
SAHYADRI,Sahyadri Industries Limited,EQ,06-APR-2023
SAICAPI,Sai Capital Limited,EQ,17-AUG-2026
SAIL,Steel Authority of India Limited,EQ,06-JUL-1995
SAILIFE,Sai Life Sciences Limited,EQ,18-DEC-2024
SAIPARENT,Sai Parenterals Limited,EQ,02-APR-2026
SAKAR,Sakar Healthcare Limited,EQ,11-APR-2019
SAKHTISUG,Sakthi Sugars Limited,EQ,06-SEP-1995
SAKSOFT,Saksoft Limited,EQ,09-MAY-2005
SAKUMA,Sakuma Exports Limited,EQ,08-MAR-2006
SALASAR,Salasar Techno Engineering Limited,EQ,25-JUL-2017
SALONA,Salona Cotspin Limited,EQ,16-JUN-2016
SALSTEEL,S.A.L. Steel Limited,EQ,24-NOV-2004
SALZERELEC,Salzer Electronics Limited,EQ,02-DEC-2015
SAMBANDAM,Sambandam Spinning Mills Limited,EQ,17-AUG-2026
SAMBHAAV,Sambhaav Media Limited,EQ,05-JUN-1996
SAMBHV,Sambhv Steel Tubes Limited,EQ,02-JUL-2025
SAMHI,Samhi Hotels Limited,EQ,22-SEP-2023
SAMMAANCAP,Sammaan Capital Limited,EQ,23-JUL-2013
SAMPANN,Sampann Utpadan India Limited,EQ,27-JUL-2012
SANATHAN,Sanathan Textiles Limited,EQ,27-DEC-2024
SANDESH,The Sandesh Limited,EQ,26-NOV-2002
SANDHAR,Sandhar Technologies Limited,EQ,02-APR-2018
SANDUMA,Sandur Manganese & Iron Ores Limited,EQ,07-SEP-2023
SANGAMIND,Sangam (India) Limited,EQ,17-JUL-1996
SANGHVIMOV,Sanghvi Movers Limited,EQ,24-JAN-2007
SANGINITA,Sanginita Chemicals Limited,BE,15-JUL-2019
SANOFI,Sanofi India Limited,EQ,19-MAY-2003
SANOFICONR,Sanofi Consumer Healthcare India Limited,EQ,13-SEP-2024
SANSERA,Sansera Engineering Limited,EQ,24-SEP-2021
SANSTAR,Sanstar Limited,EQ,26-JUL-2024
SAPPHIRE,Sapphire Foods India Limited,EQ,18-NOV-2021
SAPPL,Shree Ajit Pulp & Paper Limited,EQ,20-APR-2026
SARDAEN,Sarda Energy & Minerals Limited,EQ,03-DEC-2009
SAREGAMA,Saregama India Limited,EQ,30-JUL-1997
SARLAPOLY,Sarla Performance Fibers Limited,EQ,19-JAN-2007
SARVESHWAR,Sarveshwar Foods Limited,EQ,08-DEC-2022
SASKEN,Sasken Technologies Limited,EQ,09-SEP-2005
SATIA,Satia Industries Limited,EQ,17-JUL-2019
SATIN,Satin Creditcare Network Limited,EQ,26-AUG-2015
SAURASHCEM,Saurashtra Cement Limited,EQ,27-FEB-2024
SAYAJIHOTL,Sayaji Hotels Limited,EQ,20-APR-2026
SAYAJIIND,Sayaji Industries Limited,EQ,17-AUG-2026
SBC,SBC Exports Limited,EQ,23-NOV-2021
SBCL,Shivalik Bimetal Controls Limited,EQ,24-JUN-2021
SBFC,SBFC Finance Limited,EQ,16-AUG-2023
SBGLP,Suratwwala Business Group Limited,EQ,10-FEB-2023
SBICARD,SBI Cards and Payment Services Limited,EQ,16-MAR-2020
SBIFUNDS,SBI Funds Management Limited,EQ,21-JUL-2026
SBILIFE,SBI Life Insurance Company Limited,EQ,03-OCT-2017
SBIN,State Bank of India,EQ,01-MAR-1995
SCANSTL,Scan Steels Limited,BE,20-APR-2026
SCHAEFFLER,Schaeffler India Limited,EQ,29-NOV-2000
SCHAND,S Chand And Company Limited,EQ,09-MAY-2017
SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-MAR-2012
SCI,Shipping Corporation Of India Limited,EQ,13-AUG-1997
SCILAL,Shipping Corporation of India Land and Assets Limited,EQ,19-MAR-2024
SCODATUBES,Scoda Tubes Limited,EQ,04-JUN-2025
SCPL,Sheetal Cool Products Limited,EQ,22-NOV-2022
SDBL,Som Distilleries & Breweries Limited,EQ,18-MAR-2014
SEAMECLTD,Seamec Limited,EQ,28-JUN-1995
SECMARK,SecMark Consultancy Limited,EQ,16-OCT-2023
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-JAN-2014
SEDEMAC,SEDEMAC Mechatronics Limited,EQ,11-MAR-2026
SEIL,Shanti Educational Initiatives Limited,EQ,20-APR-2026
SEJALLTD,Sejal Glass Limited,EQ,13-DEC-2021
SEKURITIND,Saint Gobain Sekurit India Limited,EQ,17-AUG-2026
SELMC,SEL Manufacturing Company Limited,EQ,26-OCT-2021
SEMAC,Semac Construction Limited,EQ,11-AUG-2005
SENCO,Senco Gold Limited,EQ,14-JUL-2023
SENORES,Senores Pharmaceuticals Limited,EQ,30-DEC-2024
SEPC,SEPC Limited,EQ,20-FEB-2008
SERVOTECH,Servotech Renewable Power System Limited,EQ,02-SEP-2021
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-MAR-1995
SETCO,Setco Automotive Limited,BE,01-JUL-2016
SETL,Standard Engineering Technology Limited,EQ,13-JAN-2025
SEYAIND,Seya Industries Limited,BE,11-JUL-2019
SFL,Sheela Foam Limited,EQ,09-DEC-2016
SGFIN,SG Finserve Limited,EQ,05-AUG-2025
SGIL,Synergy Green Industries Limited,EQ,28-JUL-2021
SGL,STL Global Limited,EQ,10-APR-2006
SGLRES,SGL Resources Limited,EQ,17-AUG-2026
SGMART,SG Mart Limited,EQ,12-SEP-2025
SGRL,Shree Ganesh Remedies Limited,EQ,17-AUG-2026
SHADOWFAX,Shadowfax Technologies Limited,EQ,28-JAN-2026
SHAH,Shah Metacorp Limited,EQ,27-OCT-2010
SHAHALLOYS,Shah Alloys Limited,EQ,16-JUN-2005
SHAILY,Shaily Engineering Plastics Limited,EQ,04-APR-2022
SHAKTIPUMP,Shakti Pumps (India) Limited,EQ,29-JAN-2015
SHALBY,Shalby Limited,EQ,15-DEC-2017
SHALPAINTS,Shalimar Paints Limited,BE,03-MAR-2008
SHANKARA,Shankara Building Products Limited,EQ,05-APR-2017
SHANTI,Shanti Overseas (India) Limited,EQ,16-SEP-2021
SHANTIGEAR,Shanthi Gears Limited,EQ,17-JAN-1996
SHANTIGOLD,Shanti Gold International Limited,EQ,01-AUG-2025
SHARDACROP,Sharda Cropchem Limited,EQ,23-SEP-2014
SHARDAMOTR,Sharda Motor Industries Limited,EQ,03-SEP-2015
SHARDUL,Shardul Securities Limited,BE,20-APR-2026
SHAREINDIA,Share India Securities Limited,EQ,21-SEP-2020
SHBAJRG,Shri Bajrang Alliance Limited,EQ,20-APR-2026
SHEKHAWATI,Shekhawati Industries Limited,BE,12-JAN-2011
SHEMAROO,Shemaroo Entertainment Limited,BE,01-OCT-2014
SHERVANI,Shervani Industrial Syndicate Limited,EQ,17-AUG-2026
SHILCTECH,Shilchar Technologies Limited,EQ,24-NOV-2025
SHILGRAVQ,Shilp Gravures Limited,EQ,17-AUG-2026
SHILPAMED,Shilpa Medicare Limited,EQ,03-DEC-2009
SHINDL,Sharat Industries Limited,EQ,20-APR-2026
SHIPROCKET,Shiprocket Limited,EQ,19-AUG-2026
SHIVAAGRO,Shiva Global Agro Industries Limited,EQ,17-AUG-2026
SHIVACEM,Shiva Cement Limited,EQ,17-AUG-2026
SHIVALIK,Shivalik Rasayan Limited,BE,09-DEC-2021
SHIVAMAUTO,Shivam Autotech Limited,BE,21-NOV-2006
SHIVAMILLS,Shiva Mills Limited,EQ,26-FEB-2018
SHIVATEX,Shiva Texyarn Limited,EQ,26-DEC-2017
SHIVAUM,Shiv Aum Steels Limited,EQ,14-NOV-2025
SHK,S H Kelkar and Company Limited,EQ,16-NOV-2015
SHOPERSTOP,Shoppers Stop Limited,EQ,23-MAY-2005
SHRADDHA,Shraddha Prime Projects Limited,EQ,17-AUG-2026
SHRADHA,Shradha Realty Limited,EQ,22-OCT-2020
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-JAN-2020
SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995
SHREEJISPG,Shreeji Shipping Global Limited,EQ,26-AUG-2025
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-SEP-2015
SHREERAMA,Shree Rama Multi-Tech Limited,EQ,13-MAR-2000
SHREYANIND,Shreyans Industries Limited,EQ,06-NOV-1996
SHRIKRISH,Shri Krishna Devcon Limited,EQ,20-APR-2026
SHRINGARMS,Shringar House of Mangalsutra Limited,EQ,17-SEP-2025
SHRIPISTON,SPR Auto Technologies Limited,EQ,02-JUN-2016
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996
SHRIRAMPPS,Shriram Properties Limited,EQ,20-DEC-2021
SHRJAGP,Shri Jagdamba Polymers Limited,EQ,17-AUG-2026
SHUKRAPHAR,Shukra Pharmaceuticals Limited,EQ,14-AUG-2026
SHYAMCENT,Shyam Century Ferrous Limited,BE,28-JUL-2015
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-JUN-2021
SHYAMTEL,Shyam Telecom Limited,EQ,06-NOV-2006
SICAGEN,Sicagen India Limited,EQ,20-APR-2026
SICALLOG,Sical Logistics Limited,BE,12-OCT-2023
SIEL,Superior Industrial Enterprises Limited,EQ,17-AUG-2026
SIEMENS,Siemens Limited,EQ,06-SEP-1995
SIGACHI,Sigachi Industries Limited,EQ,15-NOV-2021
SIGIND,Signet Industries Limited,EQ,29-AUG-2018
SIGMA,Sigma Solve Limited,EQ,09-JUN-2023
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,EQ,19-JUL-2007
SIGNATURE,Signatureglobal (India) Limited,EQ,27-SEP-2023
SIGNPOST,Signpost India Limited,EQ,14-FEB-2024
SIKA,Sika Interplant Systems Limited,EQ,20-APR-2026
SIKKO,Sikko Industries Limited,BE,22-OCT-2021
SIL,Standard Industries Limited,EQ,27-JAN-2004
SILGO,Silgo Retail Limited,EQ,03-MAR-2021
SILINV,SIL Investments Limited,EQ,22-MAY-1996
SILLYMONKS,Silly Monks Entertainment Limited,EQ,08-JUL-2020
SILVERTUC,Silver Touch Technologies Limited,EQ,12-MAY-2022
SIMPLEXINF,Simplex Infrastructures Limited,EQ,09-MAR-2004
SIMPLXREA,Simplex Realty Limited,EQ,17-AUG-2026
SINCLAIR,Sinclairs Hotels Limited,EQ,10-APR-2024
SINDHUTRAD,Sindhu Trade Links Limited,EQ,20-JUN-2023
SINGERIND,Singer India Limited,EQ,19-MAR-2026
SINTERCOM,Sintercom India Limited,EQ,07-OCT-2020
SIRCA,Sirca Paints India Limited,EQ,22-JUL-2019
SIS,SIS LIMITED,EQ,10-AUG-2017
SIYSIL,Siyaram Silk Mills Limited,EQ,29-JAN-2007
SJS,S.J.S. Enterprises Limited,EQ,15-NOV-2021
SJVN,SJVN Limited,EQ,20-MAY-2010
SKFINDIA,SKF India Limited,EQ,27-JAN-1999
SKFINDUS,SKF India (Industrial) Limited,EQ,05-DEC-2025
SKIPPER,Skipper Limited,EQ,27-MAY-2015
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-MAR-1997
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,EQ,06-JAN-2023
SMARTLINK,Smartlink Holdings Limited,BE,11-APR-2001
SMARTWORKS,Smartworks Coworking Spaces Limited,EQ,17-JUL-2025
SMCGLOBAL,SMC Global Securities Limited,EQ,24-FEB-2021
SMLMAH,SML Mahindra Limited,EQ,29-AUG-2003
SMLT,Sarthak Metals Limited,EQ,25-NOV-2021
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-FEB-2007
SNOWMAN,Snowman Logistics Limited,EQ,12-SEP-2014
SOBHA,Sobha Limited,EQ,20-DEC-2006
SOFTTECH,Softtech Engineers Limited,EQ,25-FEB-2022
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-JUN-2018
SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006
SOLARWORLD,Solarworld Energy Solutions Limited,EQ,30-SEP-2025
SOLEX,Solex Energy Limited,EQ,08-OCT-2025
SOMANYCERA,Somany Ceramics Limited,EQ,22-NOV-1995
SOMATEX,Soma Textiles & Industries Limited,EQ,14-AUG-1996
SOMICONVEY,Somi Conveyor Beltings Limited,EQ,18-JUL-2016
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021
SONAL,Sonal Mercantile Limited,EQ,20-APR-2026
SONAMLTD,SONAM LIMITED,EQ,07-APR-2022
SONATSOFTW,Sonata Software Limited,EQ,28-JUL-1999
SOTL,Savita Oil Technologies Limited,EQ,28-JUN-1995
SOUTHBANK,The South Indian Bank Limited,EQ,08-DEC-1998
SOUTHWEST,South West Pinnacle Exploration Limited,EQ,18-APR-2019
SPAL,S. P. Apparels Limited,EQ,12-AUG-2016
SPANDANA,Spandana Sphoorty Financial Limited,EQ,19-AUG-2019
SPARC,Sun Pharma Advanced Research Company Limited,EQ,18-JUL-2007
SPCENET,Spacenet Enterprises India Limited,EQ,10-JAN-2017
SPECIALITY,Speciality Restaurants Limited,BE,30-MAY-2012
SPECTRUM,Spectrum Electrical Industries Limited,BE,28-MAR-2025
SPELS,SPEL Semiconductor Limited,EQ,17-AUG-2026
SPENCERS,Spencer's Retail Limited,EQ,25-JAN-2019
SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,10-JAN-1996
SPLIL,SPL Industries Limited,EQ,26-JUL-2005
SPLPETRO,Supreme Petrochem Limited,EQ,24-MAY-2022
SPMLINFRA,SPML Infra Limited,EQ,14-FEB-1996
SPORTKING,Sportking India Limited,EQ,24-AUG-2022
SRD,Shankar Lal Rampal Dye-Chem Limited,EQ,09-OCT-2024
SREEL,Sreeleathers Limited,EQ,01-JAN-2014
SRF,SRF Limited,EQ,18-AUG-2003
SRGHFL,SRG Housing Finance Limited,EQ,21-AUG-2023
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,08-MAY-2007
SRIKPRIND,Sri KPR Industries Limited,EQ,17-AUG-2026
SRM,SRM Contractors Limited,EQ,03-APR-2024
SRTL,Shree Ram Twistex Limited,EQ,02-MAR-2026
SSDL,Saraswati Saree Depot Limited,EQ,20-AUG-2024
SSWL,Steel Strips Wheels Limited,EQ,06-JUN-2005
STALLION,Stallion India Fluorochemicals Limited,BE,23-JAN-2025
STANLEY,Stanley Lifestyles Limited,EQ,28-JUN-2024
STAR,Strides Pharma Science Limited,EQ,02-FEB-2000
STARCEMENT,Star Cement Limited,EQ,16-JUN-2017
STARHEALTH,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021
STARPAPER,Star Paper Mills Limited,EQ,13-SEP-1995
STARTECK,Starteck Finance Limited,EQ,04-MAY-2022
